date,Positive\_Rate
2021-09-22,0.05
2021-09-23,0.048
2021-09-24,0.043
2021-09-25,0.039
2021-09-26,0.038
2021-09-27,0.034
2021-09-28,0.032
2021-09-29,0.027999999999999997
2021-09-30,0.026000000000000002
2021-10-01,0.024
2021-10-02,0.022000000000000002
2021-10-03,0.021
2021-10-04,0.019
2021-10-05,0.018000000000000002
2021-10-06,0.017
2021-10-07,0.016
2021-10-08,0.013999999999999999
2021-10-09,0.013000000000000001
2021-10-10,0.013000000000000001
2021-10-11,0.011000000000000001
2021-10-12,0.01
2021-10-13,0.009000000000000001
2021-10-14,0.008
2021-10-15,0.008
2021-10-16,0.008
2021-10-17,0.008
2021-10-18,0.008
2021-10-19,0.006999999999999999
2021-10-20,0.006999999999999999
2021-10-21,0.006
2021-10-22,0.005
2021-10-23,0.005
2021-10-24,0.005
2021-10-25,0.004
2021-10-26,0.004
2021-10-27,0.004
2021-10-28,0.004
2021-10-29,0.004
2021-10-30,0.004
2021-10-31,0.004
2021-11-01,0.004
2021-11-02,0.004
2021-11-03,0.004
2021-11-04,0.004
2021-11-05,0.004
2021-11-06,0.004
2021-11-07,0.004
2021-11-08,0.004
2021-11-09,0.004
2021-11-10,0.004
2021-11-11,0.003
2021-11-12,0.003
2021-11-13,0.003
2021-11-14,0.003
2021-11-15,0.003
2021-11-16,0.003
2021-11-17,0.003
2021-11-18,0.003
2021-11-19,0.003
2021-11-20,0.003
2021-11-21,0.012807361781597137
2021-11-22,0.012343727052211761
2021-11-23,0.012115705758333206
2021-11-24,0.011940859258174896
2021-11-25,0.011743534356355667
2021-11-26,0.011695250868797302
2021-11-27,0.01187083125114441
2021-11-28,0.011882159858942032
2021-11-29,0.011956468224525452
2021-11-30,0.012166265398263931
2021-12-01,0.012332174926996231
2021-12-02,0.012479178607463837
2021-12-03,0.012599475681781769
2021-12-04,0.012672387063503265
2021-12-05,0.012685734778642654
2021-12-06,0.012641049921512604
2021-12-07,0.012637808918952942
2021-12-08,0.012587673962116241
2021-12-09,0.012201119214296341
2021-12-10,0.011914707720279694
2021-12-11,0.011846497654914856
2021-12-12,0.011814091354608536
2021-12-13,0.011752825230360031
2021-12-14,0.011833634227514267
2021-12-15,0.011937104165554047
2021-12-16,0.012144174426794052
2021-12-17,0.012596655637025833
2021-12-18,0.013154439628124237
2021-12-19,0.013312257826328278
2021-12-20,0.013125531375408173
2021-12-21,0.012540649622678757
2021-12-22,0.011248789727687836
2021-12-23,0.013391375541687012
2021-12-24,0.013331249356269836
2021-12-25,0.013308379799127579
2021-12-26,0.013283025473356247
2021-12-27,0.013258479535579681
2021-12-28,0.013223588466644287
2021-12-29,0.013223610818386078
2021-12-30,0.01328342780470848
