date,Positive\_Rate
2021-09-22,0.05
2021-09-23,0.048
2021-09-24,0.043
2021-09-25,0.039
2021-09-26,0.038
2021-09-27,0.034
2021-09-28,0.032
2021-09-29,0.027999999999999997
2021-09-30,0.026000000000000002
2021-10-01,0.024
2021-10-02,0.022000000000000002
2021-10-03,0.021
2021-10-04,0.019
2021-10-05,0.018000000000000002
2021-10-06,0.017
2021-10-07,0.016
2021-10-08,0.013999999999999999
2021-10-09,0.013000000000000001
2021-10-10,0.013000000000000001
2021-10-11,0.011000000000000001
2021-10-12,0.01
2021-10-13,0.009000000000000001
2021-10-14,0.008
2021-10-15,0.008
2021-10-16,0.008
2021-10-17,0.008
2021-10-18,0.008
2021-10-19,0.006999999999999999
2021-10-20,0.006999999999999999
2021-10-21,0.006
2021-10-22,0.005
2021-10-23,0.005
2021-10-24,0.005
2021-10-25,0.004
2021-10-26,0.004
2021-10-27,0.004
2021-10-28,0.004
2021-10-29,0.004
2021-10-30,0.004
2021-10-31,0.004
2021-11-01,0.004
2021-11-02,0.004
2021-11-03,0.004
2021-11-04,0.004
2021-11-05,0.004
2021-11-06,0.004
2021-11-07,0.004
2021-11-08,0.004
2021-11-09,0.004
2021-11-10,0.004
2021-11-11,0.003
2021-11-12,0.003
2021-11-13,0.003
2021-11-14,0.003
2021-11-15,0.003
2021-11-16,0.003
2021-11-17,0.003
2021-11-18,0.003
2021-11-19,0.003
2021-11-20,0.003
2021-11-21,0.020067967474460602
2021-11-22,0.01935731992125511
2021-11-23,0.01880122348666191
2021-11-24,0.01838749274611473
2021-11-25,0.018070820719003677
2021-11-26,0.01789906620979309
2021-11-27,0.01782187819480896
2021-11-28,0.01771504431962967
2021-11-29,0.017667565494775772
2021-11-30,0.017619751393795013
2021-12-01,0.01763460785150528
2021-12-02,0.017674602568149567
2021-12-03,0.017751749604940414
2021-12-04,0.01785828173160553
2021-12-05,0.0179000124335289
2021-12-06,0.017874885350465775
2021-12-07,0.017883609980344772
2021-12-08,0.01787637174129486
2021-12-09,0.017866861075162888
2021-12-10,0.01789155974984169
2021-12-11,0.017934441566467285
2021-12-12,0.017890378832817078
2021-12-13,0.01792047917842865
2021-12-14,0.017934326082468033
2021-12-15,0.017948530614376068
2021-12-16,0.01796145737171173
2021-12-17,0.017993610352277756
2021-12-18,0.01801862195134163
2021-12-19,0.018022261559963226
2021-12-20,0.017988279461860657
2021-12-21,0.018031686544418335
2021-12-22,0.018061090260744095
2021-12-23,0.018026892095804214
2021-12-24,0.017973370850086212
2021-12-25,0.017930209636688232
2021-12-26,0.017850037664175034
2021-12-27,0.017804056406021118
2021-12-28,0.01779697835445404
2021-12-29,0.017754703760147095
2021-12-30,0.017726894468069077
